# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	2216	3343	-							MJ_0001	1128		old_locus_tag=MJ0001
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	2216	3343	-	AAB97984.1			aspartate aminotransferase (aspB1)			MJ_0001	1128	375	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	3340	4071	-							MJ_0002	732		old_locus_tag=MJ0002
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	3340	4071	-	AAB97989.1			hypothetical protein			MJ_0002	732	243	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	4911	5381	+							MJ_0003	471		old_locus_tag=MJ0003
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	4911	5381	+	AAB97990.1			hypothetical protein			MJ_0003	471	156	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	5378	6109	+							MJ_0004	732		old_locus_tag=MJ0004
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	5378	6109	+	AAB97985.1			(R)-2-hydroxyglutaryl-CoA dehydratase activator			MJ_0004	732	243	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	6111	7250	-							MJ_0005	1140		old_locus_tag=MJ0005
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	6111	7250	-	AAB97986.1			formate dehydrogenase, beta subunit			MJ_0005	1140	379	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	7338	8474	-							MJ_0006	1137		old_locus_tag=MJ0006
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	7338	8474	-	AAB97987.1			formate dehydrogenase, alpha subunit			MJ_0006	1137	378	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	8884	10005	+							MJ_0007	1122		old_locus_tag=MJ0007
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	8884	10005	+	AAB97988.1			2-hydroxyglutaryl-CoA dehydratase, subunit beta (hgdB)			MJ_0007	1122	373	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	10075	10737	+							MJ_0008	663		old_locus_tag=MJ0008
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	10075	10737	+	AAB97997.1			hypothetical protein			MJ_0008	663	220	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	10743	11573	+							MJ_0009	831		old_locus_tag=MJ0009
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	10743	11573	+	AAB97998.1			hypothetical protein			MJ_0009	831	276	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	11581	12867	+							MJ_0010	1287		old_locus_tag=MJ0010
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	11581	12867	+	AAB97991.1			BcpC phosphonopyruvate decarboxylase			MJ_0010	1287	428	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	12869	13462	+							MJ_0011	594		old_locus_tag=MJ0011
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	12869	13462	+	AAB97999.1			hypothetical protein			MJ_0011	594	197	
gene	other	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	13424	14332	-							MJ_0012	909		old_locus_tag=MJ0012
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	14348	14836	-							MJ_0013	489		old_locus_tag=MJ0013
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	14348	14836	-	AAB98000.1			hypothetical protein			MJ_0013	489	162	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	14817	15458	-							MJ_0014	642		old_locus_tag=MJ0014
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	14817	15458	-	AAB97992.1			conserved hypothetical protein			MJ_0014	642	213	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	15511	15807	+							MJ_0015	297		old_locus_tag=MJ0015
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	15511	15807	+	AAB97993.1			conserved hypothetical protein			MJ_0015	297	98	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	16240	16416	-							MJ_0016	177		old_locus_tag=MJ0016
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	16240	16416	-	AAB98001.1			hypothetical protein			MJ_0016	177	58	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	16806	17450	+							MJ_0017	645		old_locus_tag=MJ0017
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	16806	17450	+	AAB97994.1			transposase, similar to IS240			MJ_0017	645	214	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	17658	19232	+							MJ_0018	1575		old_locus_tag=MJ0018
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	17658	19232	+	AAB98002.1			hypothetical protein			MJ_0018	1575	524	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	19229	21121	-							MJ_0019	1893		old_locus_tag=MJ0019
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	19229	21121	-	AAB97995.1			Glu-tRNA amidotransferase (gatB)			MJ_0019	1893	630	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	21148	22401	-							MJ_0020	1254		old_locus_tag=MJ0020
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	21148	22401	-	AAB97996.1			asparaginase (ansA)			MJ_0020	1254	417	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	22762	23889	+							MJ_0021	1128		old_locus_tag=MJ0021
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	22762	23889	+	AAB98003.1			conserved hypothetical protein			MJ_0021	1128	375	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	24003	25091	+							MJ_0022	1089		old_locus_tag=MJ0022
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	24003	25091	+	AAB98004.1			cobalamin biosynthesis protein (cbiD)			MJ_0022	1089	362	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	25284	25640	+							MJ_0023	357		old_locus_tag=MJ0023
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	25284	25640	+	AAB98012.1			hypothetical protein			MJ_0023	357	118	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	25686	26105	-							MJ_0024	420		old_locus_tag=MJ0024
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	25686	26105	-	AAB98005.1			conserved hypothetical protein			MJ_0024	420	139	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	26106	27122	-							MJ_0025	1017		old_locus_tag=MJ0025
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	26106	27122	-	AAB98006.1			hypothetical protein			MJ_0025	1017	338	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	27134	27958	-							MJ_0026	825		old_locus_tag=MJ0026
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	27134	27958	-	AAB98007.1			proliferating-cell nucleolar antigen, FMU/NOL1/NOP2 family			MJ_0026	825	274	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	28018	28572	-							MJ_0027	555		old_locus_tag=MJ0027
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	28018	28572	-	AAB98013.1			hypothetical protein			MJ_0027	555	184	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	28514	29473	-							MJ_0028	960		old_locus_tag=MJ0028
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	28514	29473	-	AAB98008.1			thiamine monphosphate kinase (thiL)			MJ_0028	960	319	
gene	other	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	29838	31085	+							MJ_0029	1248		old_locus_tag=MJ0029
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	31255	31806	+							MJ_0030	552		old_locus_tag=MJ0030
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	31255	31806	+	AAB98009.1			coenzyme F420-reducing hydrogenase, delta subunit (frcD)			MJ_0030	552	183	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	31799	32491	+							MJ_0031	693		old_locus_tag=MJ0031
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	31799	32491	+	AAB98010.1			coenzyme F420-reducing hydrogenase, gamma subunit			MJ_0031	693	230	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	32511	33374	+							MJ_0032	864		old_locus_tag=MJ0032
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	32511	33374	+	AAB98011.1			coenzyme F420-reducing hydrogenase, beta subunit (frhB)			MJ_0032	864	287	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	33629	35248	+							MJ_0033	1620		old_locus_tag=MJ0033
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	33629	35248	+	AAB98014.1			succinate dehydrogenase, flavoprotein subunit (sdhA)			MJ_0033	1620	539	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	35437	36387	-							MJ_0034	951		old_locus_tag=MJ0034
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	35437	36387	-	AAB98015.1			conserved hypothetical protein			MJ_0034	951	316	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	36529	37281	-							MJ_0035	753		old_locus_tag=MJ0035
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	36529	37281	-	AAB98016.1			ABC transporter subunit			MJ_0035	753	250	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	37551	38012	+							MJ_0036	462		old_locus_tag=MJ0036
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	37551	38012	+	AAB98017.1			SSU ribosomal protein S15P (rpsO)			MJ_0036	462	153	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	38073	38789	+							MJ_0037	717		old_locus_tag=MJ0037
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	38073	38789	+	AAB98018.1			conserved hypothetical protein			MJ_0037	717	238	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	38790	39443	-							MJ_0038	654		old_locus_tag=MJ0038
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	38790	39443	-	AAB98019.1			conserved hypothetical protein			MJ_0038	654	217	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	39651	39998	-							MJ_0039	348		old_locus_tag=MJ0039
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	39651	39998	-	AAB98020.1			conserved hypothetical protein			MJ_0039	348	115	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	40098	40394	-							MJ_0040	297		old_locus_tag=MJ0040
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	40098	40394	-	AAB98021.1			LSU ribosomal protein L21E			MJ_0040	297	98	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	40474	41838	-							MJ_0041	1365		old_locus_tag=MJ0041
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	40474	41838	-	AAB98022.1			conserved hypothetical protein			MJ_0041	1365	454	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	41880	42527	-							MJ_0042	648		old_locus_tag=MJ0042
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	41880	42527	-	AAB98028.1			hypothetical protein			MJ_0042	648	215	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	42755	45112	+							MJ_0043	2358		old_locus_tag=MJ0043
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	42755	45112	+	AAB98023.1			intein containing hypothetical protein			MJ_0043	2358	785	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	45117	45899	-							MJ_0044	783		old_locus_tag=MJ0044
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	45117	45899	-	AAB98024.1			conserved hypothetical protein			MJ_0044	783	260	
